GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/module-1,com.mlesniak.jacoco,Module1Main,19,7,4,0,7,3,3,3,1,3
report/module-2,com.mlesniak.jacoco,Module2Main,2,5,0,0,1,2,1,2,1,2
